Raub,"Stra©¬enraub,
Handtaschen-raub","K?rper-verletzungen 
-insgesamt-",Gef?hrl. und schwere K?rper-verletzung,"Freiheits-beraubung, N?tigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-besch?digung -insgesamt-,Sach-besch?digung durch Graffiti,Rauschgift-delikte,Kieztaten
253,179,"3,466",844,"1,498","13,949",721,"1,907","1,631",621,275,81,"3,747",685,533,"8,745"
1,1,42,7,31,134,4,12,9,12,3,0,44,5,2,132
20,14,361,84,171,731,80,139,44,38,23,5,324,38,47,775
36,31,378,84,166,"1,082",59,158,82,30,28,11,422,57,35,981
13,10,219,55,108,683,43,121,43,59,24,5,173,12,30,450
21,18,379,95,139,"1,299",102,260,152,117,44,7,357,49,39,966
26,15,340,79,159,"1,379",79,247,125,83,39,16,440,44,42,892
42,28,580,152,206,"3,080",88,321,286,46,38,10,477,70,99,"1,337"
18,11,184,57,65,672,42,116,60,12,5,3,265,149,59,374
30,16,334,84,127,"1,684",55,161,316,55,20,9,425,83,69,"1,038"
15,11,180,53,86,722,46,128,95,30,11,3,198,47,31,496
9,9,220,37,104,"1,086",59,94,118,53,22,7,278,53,28,530
2,2,30,6,23,279,8,25,94,8,6,4,55,17,14,115
12,8,177,41,85,884,36,65,188,78,11,1,234,59,26,542
8,5,42,10,28,234,20,60,19,0,1,0,55,2,12,117
264,148,"2,997",731,"1,591","10,037",437,"2,159",962,457,158,59,"2,436",319,566,"7,324"
27,16,286,70,193,"1,331",49,337,127,49,23,7,288,36,44,"1,005"
49,25,351,85,202,"1,660",68,506,155,53,27,10,313,44,79,931
36,20,460,121,221,"1,374",34,220,101,40,7,1,245,18,44,"1,022"
15,8,338,82,187,804,28,208,27,32,25,15,224,9,251,829
25,17,153,40,65,836,12,48,52,9,3,2,117,17,14,331
4,2,82,14,61,306,12,37,65,40,8,4,133,16,18,208
13,6,128,34,87,716,38,118,201,95,5,0,271,61,14,342
8,3,140,31,88,362,23,91,33,24,8,3,105,14,13,344
24,14,372,90,162,"1,080",76,225,84,57,15,5,282,61,32,750
19,9,118,37,66,368,23,85,13,13,9,3,71,3,13,281
30,19,358,86,144,710,41,148,51,19,19,5,229,22,17,797
7,3,142,28,56,229,20,68,17,26,7,3,97,16,17,312
7,6,69,13,59,261,13,68,36,0,2,1,61,2,10,172
127,69,646,189,"2,235","8,488",42,497,341,6,3,2,"1,023",468,811,"3,198"
"5,121","3,136","50,638","13,847","25,390","223,586","7,574","36,841","27,099","8,529","3,175","1,007","47,040","7,866","14,446","128,873"
,,,,,,,,,,,,,,,
